"Country","Climate zone","Avg °F","Avg °C","Total Score and Status","Population","GDP","HDI","death_number"
"South Sudan","AW",85.1,29.5,"1 Not Free",11062114,NA,0.393,58688.979933865
"Spain","CSA",61.9,16.61,"90 Free",47134837,1.39305e+12,0.908,53632.0189290294
"Spain","CSA",61.9,16.61,"90 Free",47134837,1.39305e+12,0.908,742609.376754141
"Sri Lanka","AF",81.43,27.46,"55 Partly Free",21803000,83902574443,0.778,23968.7395737432
"Sri Lanka","AF",81.43,27.46,"55 Partly Free",21803000,83902574443,0.778,489315.535878558
"Sudan","BSH",86.07,30.04,"10 Not Free",42813237,32338079165,0.514,43187.3558725335
"Sudan","BSH",86.07,30.04,"10 Not Free",42813237,32338079165,0.514,1019493.98745425
"Suriname","AF",81.52,27.51,"79 Free",581363,3984483762,0.755,607.54862065086
"Suriname","AF",81.52,27.51,"79 Free",581363,3984483762,0.755,13497.8778443239
"Sweden","DFB",45.05,7.25,"100 Free",10278887,5.3388e+11,0.947,18974.6086098554
"Sweden","DFB",45.05,7.25,"100 Free",10278887,5.3388e+11,0.947,250299.152817582
"Switzerland","DFC",48.38,9.1,"96 Free",8575280,7.31767e+11,0.962,12371.2844656957
"Switzerland","DFC",48.38,9.1,"96 Free",8575280,7.31767e+11,0.962,151472.855645485
"Syria","BWH",71.17,21.76,"1 Not Free",NA,NA,NA,NA
"Taiwan","CWB",75.97,24.43,"94 Free",NA,NA,NA,NA
"Tajikistan","DSC",46.15,7.86,"8 Not Free",9321023,8300784857,0.676,13512.9213903813
"Tajikistan","DSC",46.15,7.86,"8 Not Free",9321023,8300784857,0.676,301030.226948863
"Tanzania","BSH",75.6,24.22,"34 Partly Free",58005461,61136873692,NA,NA
"Thailand","AW",83.55,28.64,"29 Not Free",69625581,5.44081e+11,0.804,51595.4662767894
"Thailand","AW",83.55,28.64,"29 Not Free",69625581,5.44081e+11,0.804,1025817.55034858
"The Bahamas","AW",78.51,25.84,"91 Free",NA,NA,NA,NA
"The Gambia","AW",85.24,29.58,"47 Partly Free",NA,NA,NA,NA
"Timor-Leste","AW",79.83,26.57,"72 Free",1293120,2047931700,0.614,1020.84503468645
"Timor-Leste","AW",79.83,26.57,"72 Free",1293120,2047931700,0.614,22559.0145161254
"Togo","CFA",78.94,26.08,"42 Partly Free",8082359,7220395248,0.535,3709.21334624204
"Togo","CFA",78.94,26.08,"42 Partly Free",8082359,7220395248,0.535,90580.5003147059
"Tonga","AF",78.31,25.73,"79 Free",104497,512350059.4,0.744,100.327739708369
"Tonga","AF",78.31,25.73,"79 Free",104497,512350059.4,0.744,2218.09320591157
"Trinidad and Tobago","AM",81.9,27.72,"82 Free",1394969,23886216403,0.821,2143.2911928494
"Trinidad and Tobago","AM",81.9,27.72,"82 Free",1394969,23886216403,0.821,43675.5738553965
"Tunisia","BWH",69.96,21.09,"64 Partly Free",11694721,41772900763,0.745,21457.0292140251
"Tunisia","BWH",69.96,21.09,"64 Partly Free",11694721,41772900763,0.745,408687.822043969
"Turkey","CSB",58.93,14.96,"32 Not Free",NA,NA,NA,99046.3769527165
"Turkey","CSB",58.93,14.96,"32 Not Free",NA,NA,NA,1847043.76686031
"Turkmenistan","BSK",67.26,19.59,"2 Not Free",5942094,45231428571,0.742,11305.2853445994
"Turkmenistan","BSK",67.26,19.59,"2 Not Free",5942094,45231428571,0.742,241340.130380297
"Tuvalu","AF",83.7,28.72,"93 Free",11655,54223149.11,0.635,22.6689603563048
"Tuvalu","AF",83.7,28.72,"93 Free",11655,54223149.11,0.635,574.953425449833
"Uganda","AM",74.25,23.47,"34 Not Free",44269587,35353060634,0.525,9590.2834363053
"Uganda","AM",74.25,23.47,"34 Not Free",44269587,35353060634,0.525,226539.713594319
"Ukraine","DFB",52.48,11.38,"61 Partly Free",44386203,1.53883e+11,0.786,325873.548826548
"Ukraine","DFB",52.48,11.38,"61 Partly Free",44386203,1.53883e+11,0.786,5582137.26669653
"United Arab Emirates","BWH",85.6,29.78,"17 Not Free",9770526,4.17216e+11,0.92,4880.12613193153
"United Arab Emirates","BWH",85.6,29.78,"17 Not Free",9770526,4.17216e+11,0.92,174392.337032742
"United Kingdom","CFB",51.35,10.75,"93 Free",66836327,2.87867e+12,0.935,93397.7746565299
"United Kingdom","CFB",51.35,10.75,"93 Free",66836327,2.87867e+12,0.935,1419046.88029859
"United States","CFA",54.75,12.64,"83 Free",328329953,2.13726e+13,0.93,NA
"Uruguay","CFA",65.52,18.62,"97 Free",3461731,61231149881,0.821,4090.92464772961
"Uruguay","CFA",65.52,18.62,"97 Free",3461731,61231149881,0.821,65324.801577801
"Uzbekistan","BWK",63.81,17.67,"11 Not Free",33580350,59907674027,0.726,75500.6478098785
"Uzbekistan","BWK",63.81,17.67,"11 Not Free",33580350,59907674027,0.726,1782752.31540251
"Vanuatu","AF",79.3,26.28,"82 Free",299882,936526267.6,0.611,460.135763057826
"Vanuatu","AF",79.3,26.28,"82 Free",299882,936526267.6,0.611,12629.8645385332
"Venezuela","AM",79.97,26.65,"14 Not Free",NA,NA,NA,NA
"Vietnam","CWA",79.25,26.25,"19 Not Free",96462108,3.30391e+11,NA,NA
"Yemen","BWH",77.95,25.53,"9 Not Free",NA,NA,0.461,32304.7505764981
"Yemen","BWH",77.95,25.53,"9 Not Free",NA,NA,0.461,806211.079312975
"Zambia","CWA",73.99,23.33,"51 Partly Free",17861034,23308667781,0.575,4833.05118376733
"Zambia","CWA",73.99,23.33,"51 Partly Free",17861034,23308667781,0.575,126585.267355329
"Zimbabwe","BSH",72.91,22.73,"28 Not Free",14645473,19284289739,0.601,8779.01891743234
"Zimbabwe","BSH",72.91,22.73,"28 Not Free",14645473,19284289739,0.601,205501.663935193
