"Country","Climate zone","Avg °F","Avg °C","Total Score and Status","Population","GDP","HDI","death_number"
"Colombia","CFB",75.56,24.2,"64 Partly Free",50339443,3.2311e+11,0.768,717682.013034426
"Comoros","AF",80.53,26.96,"42 Partly Free",850891,1195019559,0.56,443.159974941817
"Comoros","AF",80.53,26.96,"42 Partly Free",850891,1195019559,0.56,9468.68557082419
"Costa Rica","CFB",74.43,23.57,"91 Free",5047561,64417670083,0.819,3708.16516627816
"Costa Rica","CFB",74.43,23.57,"91 Free",5047561,64417670083,0.819,68351.1986511113
"Croatia","CFB",56.3,13.5,"85 Free",4065253,62246206341,0.861,13197.4410558519
"Croatia","CFB",56.3,13.5,"85 Free",4065253,62246206341,0.861,189720.057159715
"Cuba","AW",80.44,26.91,"12 Not Free",11333484,1.03428e+11,0.788,22271.9875730138
"Cuba","AW",80.44,26.91,"12 Not Free",11333484,1.03428e+11,0.788,370563.297404117
"Cyprus","BSH",71.08,21.71,"93 Free",1198574,25758357775,0.897,1595.73333923156
"Cyprus","BSH",71.08,21.71,"93 Free",1198574,25758357775,0.897,27938.7871454542
"Democratic Republic of the Congo","AM",80.28,26.82,"19 Not Free",NA,NA,NA,31794.5352709238
"Democratic Republic of the Congo","AM",80.28,26.82,"19 Not Free",NA,NA,NA,773781.416816338
"Denmark","CFB",49.8,9.89,"97 Free",5814422,3.47561e+11,0.946,7169.75132832071
"Denmark","CFB",49.8,9.89,"97 Free",5814422,3.47561e+11,0.946,99355.1559345537
"Djibouti","BWH",85.64,29.8,"24 Not Free",973557,3088853639,0.512,495.70256808217
"Djibouti","BWH",85.64,29.8,"24 Not Free",973557,3088853639,0.512,12832.5714662668
"Dominica","AF",81.16,27.31,"93 Free",71808,611537037,0.729,81.1694225655658
"Dominica","AF",81.16,27.31,"93 Free",71808,611537037,0.729,1400.61272705974
"Dominican Republic","AF",78.93,26.07,"68 Partly Free",10738957,88941299734,0.771,15306.1452982192
"Dominican Republic","AF",78.93,26.07,"68 Partly Free",10738957,88941299734,0.771,328049.129764218
"Ecuador","CFB",63.07,17.26,"71 Free",17373657,1.08108e+11,0.76,10683.989023341
"Ecuador","CFB",63.07,17.26,"71 Free",17373657,1.08108e+11,0.76,210989.100917457
"Egypt","BWH",76.82,24.9,"18 Not Free",NA,NA,0.735,181884.574707108
"Egypt","BWH",76.82,24.9,"18 Not Free",NA,NA,0.735,4419938.20765602
"El Salvador","AW",81.16,27.31,"59 Partly Free",6453550,26896660000,0.683,6481.97231307431
"El Salvador","AW",81.16,27.31,"59 Partly Free",6453550,26896660000,0.683,111489.344677848
"Equatorial Guinea","AM",78.94,26.08,"5 Not Free",1355982,11364134109,0.605,349.176250843314
"Equatorial Guinea","AM",78.94,26.08,"5 Not Free",1355982,11364134109,0.605,7740.11587328523
"Eritrea","BWH",80.58,26.99,"3 Not Free",NA,NA,0.495,2272.55497519383
"Eritrea","BWH",80.58,26.99,"3 Not Free",NA,NA,0.495,62598.3224579555
"Estonia","DFB",45.52,7.51,"94 Free",1326855,31045591753,0.896,4434.18710808278
"Estonia","DFB",45.52,7.51,"94 Free",1326855,31045591753,0.896,60837.4582521109
"Eswatini","CWA",69.39,20.77,"17 Not Free",1148133,4466066557,NA,548.818411233268
"Eswatini","CWA",69.39,20.77,"17 Not Free",1148133,4466066557,NA,13741.1147550833
"Ethiopia","BSH",72.01,22.23,"23 Not Free",112078727,95912590628,0.498,28409.1286969549
"Ethiopia","BSH",72.01,22.23,"23 Not Free",112078727,95912590628,0.498,651614.416124331
"Fiji","AF",79.68,26.49,"58 Partly Free",889955,5496264766,0.746,1574.64128293725
"Fiji","AF",79.68,26.49,"58 Partly Free",889955,5496264766,0.746,42192.9013208876
"Finland","DFC",42.15,5.64,"100 Free",5521606,2.68508e+11,0.939,14812.3339107331
