"Country","Climate_Zone","Avg_Temp_F","Avg_Temp_C","Freedom_Score","Freedom_Status","Political_Rights","Civil_Liberties","Population","GDP","HDI","Heart_Disease_Deaths","Healthcare_Spending"
"Ghana","AW",83.95,28.86,"80","Free",35,45,30417858,68337537816,0.631,15888.2770856302,75.28166199
"Greece","CSA",62.64,17.02,"87","Free",37,50,10721582,2.05144e+11,0.889,26142.4460120849,1500.594971
"Grenada","AW",81.68,27.6,"89","Free",37,52,112002,1213485185,0.8,105.199570252963,534.2744141
"Guatemala","AM",71.1,21.72,"51","Partly Free",21,30,16604026,77020015201,0.642,9408.46204001334,271.0212708
"Guinea","AW",80.71,27.06,"34","Not Free",10,24,12771246,13442861444,0.467,5826.10949544286,43.03782272
"Guinea-Bissau","AW",85.5,29.72,"43","Partly Free",17,26,1920917,1439638443,0.49,936.366313460937,62.57557678
"Guyana","AF",82.02,27.79,"73","Free",30,43,782775,5173760192,0.708,1047.07224927963,325.8851624
"Haiti","AW",79.66,26.48,"33","Not Free",11,22,11263079,14785839383,0.543,11148.6902384485,56.99440002
"Honduras","AM",75.97,24.43,"47","Partly Free",21,26,9746115,25089976947,0.632,7606.49234738591,187.5543366
"Hungary","CFB",55.47,13.04,"69","Partly Free",26,43,9771141,1.63526e+11,0.853,35930.5557408268,1062.394165
"Iceland","ET",37.71,3.17,"94","Free",37,57,360563,24857740445,0.96,436.295567360266,6274.959473
"India","AW",78.75,25.97,"66","Partly Free",33,33,1366417756,2.83155e+12,0.645,1519123.84615004,63.74832153
"Indonesia","AF",80.8,27.11,"59","Partly Free",30,29,270625567,1.1191e+12,0.716,245343.958094373,120.1249619
"Iraq","BWH",80.19,26.77,"29","Not Free",16,13,39309789,2.33636e+11,0.696,46847.9416100206,253.3146362
"Ireland","CFB",50.18,10.1,"97","Free",39,58,4934340,3.99122e+11,0.942,5809.68986312627,5428.588867
"Israel","BSH",72.84,22.69,"76","Free",34,42,9054000,3.97935e+11,0.921,6165.94846821281,3456.386963
"Italy","CSA",58.05,14.47,"90","Free",36,54,59729081,2.01129e+12,0.897,101158.717541422,2905.5
"Jamaica","AW",80.29,26.83,"80","Free",34,46,2948277,15830768550,0.719,2109.36096525873,327.4035339
"Japan","DFB",59.34,15.19,"96","Free",40,56,126633000,5.12332e+12,0.924,140588.250656733,4360.473633
"Jordan","CFA",71.91,22.17,"33","Not Free",11,22,10101697,44502895915,0.727,6110.95803606501,334.04422
"Kazakhstan","BSK",48.79,9.33,"23","Not Free",5,18,18513673,1.81667e+11,0.819,33047.1666201948,272.9652405
"Kenya","AW",72.5,22.5,"48","Partly Free",19,29,52573967,1.0038e+11,0.581,13716.6461224949,83.41162872
"Kiribati","AF",81.68,27.6,"93","Free",37,56,117608,177935349.3,0.63,157.605293886727,172.3057404
"Kuwait","BWH",83.89,28.83,"37","Partly Free",14,23,4207077,1.36197e+11,0.839,2599.19054133648,1758.674194
"Latvia","DFB",46.53,8.07,"88","Free",37,51,1913822,34308783825,0.871,9020.75103335232,1166.797852
"Lebanon","CSA",67.86,19.92,"42","Partly Free",13,29,6855709,51605959131,0.745,12251.4197187393,663.0510864
"Lesotho","CWB",60.91,16.06,"63","Partly Free",27,36,2125267,2451257579,0.524,1270.4358454675,124.193634
"Liberia","AM",80.35,26.86,"60","Partly Free",27,33,4937374,3319596500,0.484,1888.22998945512,52.56287003
"Libya","BWH",74.97,23.87,"9","Not Free",1,8,6777453,69252306372,0.722,7826.8050398455,NA
"Lithuania","DFB",47.79,8.77,"89","Free",38,51,2794137,54697379017,0.884,14637.8129167212,1369.979492
"Luxembourg","CFB",50.11,10.06,"97","Free",38,59,620001,70195715496,0.927,616.554194387602,6220.741211
"Madagascar","CWB",74.98,23.88,"61","Partly Free",27,34,26969306,14191911512,0.51,10713.9867791038,19.84997559
"Malawi","AW",73.44,23.02,"66","Partly Free",29,37,18628749,11025370769,0.519,5470.68632999346,30.40028763
"Malaysia","AF",82.9,28.28,"50","Partly Free",20,30,31949789,3.65276e+11,0.81,34010.4697730214,436.61203
"Maldives","AM",82.78,28.21,"40","Partly Free",19,21,530957,5607762625,0.755,307.842662178998,854.3706055
"Mali","BWH",89.19,31.77,"32","Not Free",8,24,19658023,17280250805,0.433,7595.85243229571,34.28177643
"Malta","CSA",67.89,19.94,"89","Free",35,54,504062,15719500921,0.915,919.969527739233,2531.910889
"Marshall Islands","AF",82.69,28.16,"93","Free",38,55,58791,239462200,0.64,80.3200631255895,664.3184815
"Mauritania","BWH",85.57,29.76,"35","Partly Free",14,21,4525698,7889655284,0.563,1826.64171524278,57.88484573
"Mauritius","AM",77.16,25.09,"86","Free",36,50,1265711,14045808843,0.817,1663.4360313309,685.9456177
"Mexico","BSK",71.65,22.03,"60","Partly Free",27,33,127575529,1.2694e+12,0.779,106311.060671666,540.3723145
"Mongolia","BSK",34.2,1.22,"84","Free",36,48,3225166,14206359007,0.746,4905.53085943356,163.441864
"Montenegro","CFB",54.03,12.24,"67","Partly Free",26,41,622028,5542201151,0.837,1488.23659470386,735.1588745
"Morocco","BSH",70.63,21.46,"37","Partly Free",13,24,36471766,1.1987e+11,0.682,72011.5241880565,174.2237701
